y	X.1	X.2	X.3	X.4	X.5	X.6	X.7	X.8	X.9	X.10	X.11	X.12	X.13	X.14	X.15	X.16	X.17	X.18	X.19	X.20
1	0.507478203158826	0.223088392289355	0.887914896942675	0.933521745260805	0.468334555858746	0.807706325082108	0.183536333963275	0.410285443300381	0.0167904442641884	0.706210545031354	0.853144091088325	0.0479826254304498	0.932500502793118	0.0262448012363166	0.609052611747757	0.61375690321438	0.94808054366149	0.423550742678344	0.480863609584048	0.704076895024627
1	0.306768506066874	0.53589499858208	0.685511471936479	0.747878266964108	0.509380015544593	0.710179208545014	0.477115993620828	0.235544262453914	0.432113755960017	0.524560655700043	0.178982442244887	0.942026436561719	0.756465399172157	0.496505485614762	0.931853790068999	0.107370757265016	0.516058748587966	0.310091926017776	0.0945605239830911	0.1636812845245
1	0.426907666493207	0.66252909693867	0.629631103947759	0.722541918512434	0.88134785508737	0.248249193187803	0.478168834699318	0.243224235018715	0.698878845199943	0.84700385434553	0.612596386345103	0.400971150491387	0.00491473777219653	0.810257898643613	0.414796790340915	0.518612555461004	0.669218678027391	0.173497883137316	0.639712869655341	0.061649726703763
1	0.693102080840617	0.848070533480495	0.750825171126053	0.545770941767842	0.181505093816668	0.509782969253138	0.516750728012994	0.689799302956089	0.439663402270526	0.383261762093753	0.892387828556821	0.983764870325103	0.159003104548901	0.302719451254234	0.657501094741747	0.881067130714655	0.665550070581958	0.55703456629999	0.584678332321346	0.924316502641886
1	0.0851359688676894	0.149183102883399	0.917777327587828	0.264123109634966	0.985597462393343	0.568758600624278	0.0874295816756785	0.69379886589013	0.481486590346321	0.791841117665172	0.595053797820583	0.615260750753805	0.524333734298125	0.343676638789475	0.956206934759393	0.380132896825671	0.200612339889631	0.837909123394638	0.790739437332377	0.974643355468288
-1	0.225436616456136	0.670099398586899	0.360070282127708	0.305724309524521	0.663976279785857	0.331568201538175	0.725148572819307	0.108965331688523	0.485067643458024	0.788430671906099	0.390400160569698	0.10483033512719	0.486551476409659	0.128590739332139	0.0828305522445589	0.223375965841115	0.0913373783696443	0.674996623303741	0.795048737199977	0.358363866107538
1	0.274530522990972	0.761635679518804	0.808408631244674	0.785921553615481	0.657692968379706	0.436661891173571	0.624465679749846	0.731130048632622	0.125180761096999	0.903375406749547	0.797494499012828	0.159021318657324	0.628449368756264	0.188783790217713	0.938028393546119	0.215232738992199	0.803426800994202	0.604345829226077	0.741417733253911	0.783492213813588
-1	0.272305066231638	0.998634453164414	0.21319284918718	0.182548804208636	0.307070184731856	0.199697073781863	0.111300902673975	0.332675447687507	0.26328911841847	0.623995499219745	0.374601671006531	0.626806177664548	0.491711559938267	0.53900267300196	0.881816831650212	0.187306508654729	0.878869528882205	0.125661181518808	0.525598602136597	0.16260703234002
1	0.615829307818785	0.263297273311764	0.139889262383804	0.549890450201929	0.230148135684431	0.786256548250094	0.918600449804217	0.0477692091371864	0.735436206217855	0.714967714156955	0.411774289095774	0.906429578782991	0.551186153898016	0.729865964967757	0.406633423175663	0.52001243783161	0.759877695934847	0.254661025013775	0.725541541585699	0.733811674406752
-1	0.429671525489539	0.885186031693593	0.298507452011108	0.648654977791011	0.031048517441377	0.7847222792916	0.707329456228763	0.351264368509874	0.0414278991520405	0.556891861604527	0.0253560710698366	0.483350317925215	0.76411393028684	0.805385868996382	0.258557561784983	0.547488461947069	0.661129108630121	0.452547820052132	0.519151898566633	0.0314913375768811
-1	0.651655666995794	0.713342019123957	0.689989852020517	0.62655958882533	0.0252039222978055	0.954900645883754	0.112904818728566	0.368339576525614	0.233774897875264	0.45221327804029	0.613458361243829	0.54287349479273	0.309636891819537	0.870945448987186	0.0189270130358636	0.345313851255924	0.673497184412554	0.074514023726806	0.347629826515913	0.0197274631354958
1	0.567737752571702	0.67062202678062	0.685459391912445	0.821511792484671	0.372042811941355	0.619593676179647	0.230896503198892	0.879955413984135	0.110224787145853	0.64178917137906	0.00203684065490961	0.344612543238327	0.87415385292843	0.977865494322032	0.960316185373813	0.515889356145635	0.435341146076098	0.577527726534754	0.00800152937881649	0.808336402289569
-1	0.113508982118219	0.745689576724544	0.85374413523823	0.327949171420187	0.0255853359121829	0.892506511649117	0.419121401850134	0.693985692225397	0.349593817489222	0.311358719831333	0.366780642420053	0.958165822084993	0.667192669352517	0.0508510284125805	0.272359333699569	0.331114460946992	0.717386886710301	0.784383383579552	0.747761737089604	0.443489002296701
-1	0.595925305271521	0.413482744712383	0.590568432817236	0.59027798846364	0.677386655472219	0.232518463861197	0.0073557102587074	0.0902754282578826	0.114379097474739	0.347588553326204	0.991293465485796	0.426160300150514	0.104154317872599	0.505479399347678	0.145634720800444	0.56723317108117	0.208973896689713	0.435215685749426	0.0518422692548484	0.957990859402344
-1	0.358049975009635	0.0486536016687751	0.101216590031981	0.778412843123078	0.17335299262777	0.511741868685931	0.0602771386038512	0.0448114091996104	0.250882767839357	0.579561564838514	0.855731071671471	0.769154998939484	0.921119845472276	0.860728076193482	0.829542687395588	0.446884528035298	0.964971322566271	0.00484223919920623	0.954371165717021	0.408182740677148
-1	0.428809418343008	0.764684811932966	0.0250368604902178	0.421282140072435	0.362733950139955	0.5301082811784	0.146877102088183	0.595566809177399	0.296273240121081	0.0131168144289404	0.109804551582783	0.965143587905914	0.822191043989733	0.555768678430468	0.6009329080116	0.956456588115543	0.165344942593947	0.515177613124251	0.0518637334462255	0.0283993582706898
1	0.0519033221062273	0.848064591642469	0.423218425363302	0.0802334439940751	0.884499976178631	0.951261942507699	0.697788187069818	0.418033353053033	0.816042612772435	0.565449026878923	0.113322034012526	0.993713984964415	0.0190665887203068	0.465921026654541	0.117477219318971	0.474155112635344	0.609489604830742	0.684887806884944	0.947190910577774	0.144547135103494
-1	0.264177667442709	0.532162737566978	0.144651330076158	0.798614542931318	0.763239111052826	0.574386406457052	0.786120304837823	0.131588285788894	0.918389914557338	0.0345052739139646	0.916168918833137	0.563985930057243	0.933438117615879	0.271988590015098	0.252423938829452	0.279963393695652	0.425199631834403	0.363033969188109	0.735370042035356	0.0235029789619148
-1	0.398790730861947	0.870330249890685	0.0976456920616329	0.119788093492389	0.266235193936154	0.87101940670982	0.337666423292831	0.345095080556348	0.812417928362265	0.756051548290998	0.853693549288437	0.695953835034743	0.754715223331004	0.713325231336057	0.999931237660348	0.725707505596802	0.383669440401718	0.504757498390973	0.298051670193672	0.843269292032346
-1	0.836134143406525	0.123705169651657	0.462658950360492	0.497165780514479	0.417301033390686	0.939295087242499	0.233596452046186	0.0249860277399421	0.862844728399068	0.179120223969221	0.449281833833084	0.251997402636334	0.517484785290435	0.0789084245916456	0.953602440888062	0.811061260057613	0.234743872890249	0.843869735952467	0.0531143718399107	0.140657939715311
-1	0.864721225807443	0.100245385430753	0.556412717327476	0.695533271413296	0.447148227598518	0.0803963257931173	0.0436835151631385	0.11729465262033	0.651834545657039	0.553031525807455	0.451156811788678	0.0316051912959665	0.74317832570523	0.645234444411471	0.741018767701462	0.212002113694325	0.909812497207895	0.428252256475389	0.389308930374682	0.543355159461498
1	0.615352416876704	0.68697782792151	0.61798344925046	0.443002371350303	0.899110629688948	0.768369620665908	0.183735601138324	0.562088297214359	0.880179006839171	0.970105974469334	0.418123644310981	0.783028624951839	0.966652516508475	0.0309291649609804	0.227702716132626	0.725650721462443	0.0428820985835046	0.812769290059805	0.94020530465059	0.0140112929511815
1	0.775109896436334	0.870523285819218	0.896474329056218	0.906041345559061	0.493130185175687	0.56228712387383	0.993488921318203	0.674569138325751	0.176830514799803	0.229812903096899	0.772947136079893	0.766503880731761	0.578496964648366	0.883563671028242	0.559171436354518	0.0378223191946745	0.880311893997714	0.0485161992255598	0.617754554841667	0.855132343480363
1	0.355568691389635	0.770652192644775	0.869736194377765	0.150187351973727	0.117339625954628	0.161637964425609	0.600052539492026	0.671848763711751	0.883565238676965	0.495187375927344	0.233530143741518	0.056652995524928	0.477309627458453	0.801238898187876	0.35386662860401	0.768991651246324	0.271879412932321	0.925133700715378	0.821697526378557	0.4899795090314
1	0.405849972041324	0.321275684749708	0.333052304107696	0.991642398992553	0.322891172487289	0.807168300729245	0.690769868437201	0.582225329242647	0.77211773279123	0.34549245540984	0.935753517784178	0.635891045210883	0.919181689852849	0.768780082231387	0.141729650553316	0.0606926176697016	0.216340778395534	0.823178979102522	0.327398854773492	0.605954611673951
-1	0.706646913895383	0.229404358426109	0.958980846684426	0.481737596914172	0.0432884225156158	0.0893090467434376	0.202007334679365	0.686953853582963	0.504648566013202	0.658996906829998	0.0632473481819034	0.107935440726578	0.166241981321946	0.942301074042916	0.118384083500132	0.98138544219546	0.167146312771365	0.879830227931961	0.345887794392183	0.346368483733386
-1	0.838287665275857	0.376092255814001	0.0341734630055726	0.472984601045027	0.929615964414552	0.486743531888351	0.25019755680114	0.113115972140804	0.689637872390449	0.601471845526248	0.443001496838406	0.800236264243722	0.642139775212854	0.156841722084209	0.570498699089512	0.917849998688325	0.207921943627298	0.375578897073865	0.773465067148209	0.352118975715712
